entry_ts,exit_ts,family,instrument_key,side,qty,entry_price,exit_price,gross_pnl,commission,slippage_cost,net_pnl
2023-02-27T09:05:00-06:00,2023-02-27T09:40:00-06:00,MES,MES.v.0,LONG,2,4017.25,4004.5,-127.5,2.5,2.5,-132.5
2023-02-28T09:15:00-06:00,2023-02-28T09:20:00-06:00,MES,MES.v.0,LONG,2,3983.75,3983.25,-5.0,2.5,2.5,-10.0
2023-03-01T09:00:00-06:00,2023-03-01T09:05:00-06:00,MES,MES.v.0,LONG,2,3971.25,3963.75,-75.0,2.5,2.5,-80.0
2023-03-02T09:00:00-06:00,2023-03-02T14:35:00-06:00,MES,MES.v.0,LONG,2,3940.25,3987.25,470.0,2.5,2.5,465.0
2023-03-03T08:55:00-06:00,2023-03-03T09:05:00-06:00,MES,MES.v.0,LONG,2,4013.5,4006.25,-72.5,2.5,2.5,-77.5
2023-03-06T11:50:00-06:00,2023-03-06T11:55:00-06:00,MES,MES.v.0,LONG,2,4065.5,4065.5,0.0,2.5,2.5,-5.0
2023-03-08T09:40:00-06:00,2023-03-08T09:45:00-06:00,MES,MES.v.0,LONG,2,3999.0,3995.0,-40.0,2.5,2.5,-45.0
2023-03-09T09:00:00-06:00,2023-03-09T09:15:00-06:00,MES,MES.v.0,LONG,2,4012.75,4006.0,-67.5,2.5,2.5,-72.5
2023-03-10T08:55:00-06:00,2023-03-10T09:00:00-06:00,MES,MES.v.0,SHORT,2,3890.25,3895.75,-55.0,2.5,2.5,-60.0
